x,y,u,T
0.0,0.0,0.017265573804912716,0.9986706877776187
0.010101010101010102,0.0,-0.014452235501563118,0.9975456020698118
0.020202020202020204,0.0,0.017529093530824248,0.9917939993724618
0.030303030303030304,0.0,0.009305900659387798,1.008288024861702
0.04040404040404041,0.0,-0.006600031035674942,1.0035054560647996
0.05050505050505051,0.0,-0.007635642168670511,1.016219368374462
0.06060606060606061,0.0,0.019761057605589,0.9893004582364122
0.07070707070707072,0.0,-0.029116674816422012,0.9880252451292382
0.08080808080808081,0.0,0.0013613787297612303,0.9805834255923832
0.09090909090909091,0.0,-0.009167000527802546,0.9798973841020018
0.10101010101010102,0.0,-0.0045604802662194115,0.986653190712762
0.11111111111111112,0.0,-0.013679834962820327,0.9855943380542818
0.12121212121212122,0.0,0.009262631426379831,0.9766266160886685
0.13131313131313133,0.0,-0.012375450294918072,0.9964677792426702
0.14141414141414144,0.0,-0.010138029202963576,0.9875256375946843
0.15151515151515152,0.0,0.0016187330690111354,0.9728662389773035
0.16161616161616163,0.0,-0.010363862524049604,0.9752787029098392
0.17171717171717174,0.0,0.009897449820314772,0.9797200739511099
0.18181818181818182,0.0,0.013954955144952593,0.9690770770242064
0.19191919191919193,0.0,-0.015315921695793296,0.9634686590461222
0.20202020202020204,0.0,0.000561711314947193,0.9492582812222147
0.21212121212121213,0.0,-0.022815487345061,0.9405759608808301
0.22222222222222224,0.0,-0.009264806660680273,0.9580525082329053
0.23232323232323235,0.0,-0.00985697476707092,0.9497766987840832
0.24242424242424243,0.0,0.005966973611950743,0.9540192225407205
0.25252525252525254,0.0,0.00506047741894869,0.9307636576088087
0.26262626262626265,0.0,0.004662258088655727,0.9389394224712336
0.27272727272727276,0.0,0.003980025411653219,0.9181032308364131
0.2828282828282829,0.0,0.018029175191307322,0.9190996959368609
0.29292929292929293,0.0,0.0150879983033336,0.9127389865403505
0.30303030303030304,0.0,-0.016853491107441696,0.9323542051693938
0.31313131313131315,0.0,-0.003883694970431438,0.8825144016839301
0.32323232323232326,0.0,0.020130155562691373,0.9064333655644513
0.33333333333333337,0.0,-0.009172607140383357,0.8767894809811569
0.3434343434343435,0.0,-0.0023230212772929948,0.8760661088097024
0.3535353535353536,0.0,-0.0016770697399074706,0.883109137764652
0.36363636363636365,0.0,0.004726451845161729,0.863225253922105
0.37373737373737376,0.0,0.006944309112126549,0.8744966072454537
0.38383838383838387,0.0,0.006380023264563018,0.8585463457564421
0.393939393939394,0.0,0.0053873778138516445,0.8513228751963097
0.4040404040404041,0.0,0.0015323457386786199,0.8566166645228235
0.4141414141414142,0.0,0.020243071912474812,0.8498591359645417
0.42424242424242425,0.0,-0.0013042581654788294,0.8349447866099413
0.43434343434343436,0.0,0.00023731202384387863,0.8257060369546824
0.4444444444444445,0.0,0.020030230889934088,0.8129832322024769
0.4545454545454546,0.0,0.004575267250533085,0.8222841302573123
0.4646464646464647,0.0,-0.0016917133428087136,0.7992495350758385
0.4747474747474748,0.0,-0.006252301739777559,0.7961110996502032
0.48484848484848486,0.0,-0.012520397322259022,0.7982488388843042
0.494949494949495,0.0,-0.004956991494586265,0.7931195981939416
0.5050505050505051,0.0,0.007766790876795968,0.7788238707145927
0.5151515151515152,0.0,0.005319357138640755,0.7747339996500716
0.5252525252525253,0.0,-0.00231667444072252,0.756582898046912
0.5353535353535354,0.0,0.011224186901374738,0.7397833596587238
0.5454545454545455,0.0,0.0063178003171786325,0.7411144969926312
0.5555555555555556,0.0,0.011011926735759141,0.7369822475984759
0.5656565656565657,0.0,0.00788194120225315,0.7185641268597865
0.5757575757575758,0.0,-0.001473292237916918,0.7075202458851099
0.5858585858585859,0.0,-0.0010457870356042982,0.6984439014029133
0.595959595959596,0.0,0.010771809145964414,0.7054040439119248
0.6060606060606061,0.0,-0.013461765849289868,0.6737041687481566
0.6161616161616162,0.0,0.004208425458685348,0.6917034202580251
0.6262626262626263,0.0,-0.004512594416004136,0.6737191225528578
0.6363636363636365,0.0,0.004837930492644414,0.667855468160402
0.6464646464646465,0.0,0.013098306641502262,0.6766696566112919
0.6565656565656566,0.0,-0.005549895276172271,0.6454762162699812
0.6666666666666667,0.0,0.008254570853043269,0.6417309065488587
0.6767676767676768,0.0,0.000796577828252213,0.6300273437044351
0.686868686868687,0.0,-7.4655825792727215e-06,0.6164297096079816
0.696969696969697,0.0,-0.006705668491177777,0.6216757857662966
0.7070707070707072,0.0,-0.005409329190448861,0.6013467334023165
0.7171717171717172,0.0,-0.0020743074748861452,0.6005782952924211
0.7272727272727273,0.0,0.004951426645030372,0.6076300424678659
0.7373737373737375,0.0,0.004851597467427502,0.5810087917910913
0.7474747474747475,0.0,-0.000305445915267953,0.572663746223198
0.7575757575757577,0.0,0.008223339419271104,0.5704870188149416
0.7676767676767677,0.0,0.008115754044051269,0.5672972900628807
0.7777777777777778,0.0,-0.013039210137130624,0.5350499826768884
0.787878787878788,0.0,-0.012799407686080178,0.5319135514847348
