x,y,z,convected,diffused
-0.90381,-2.0605,-2.125,0.91447,1.9231
-0.49097,-1.9388,-1.8875,0.82027,1.8314
-0.5208,-2.0566,-1.8875,0.82284,1.8337
-0.49097,-1.9388,-2.125,0.93576,1.9427
-0.5208,-2.0566,-2.125,0.91837,1.9268
-0.55234,-2.1812,-1.8875,0.82245,1.8332
-0.55234,-2.1812,-2.125,0.91445,1.9231
-0.16516,-1.9932,-1.8875,0.82026,1.8314
-0.17519,-2.1143,-1.8875,0.82281,1.8336
-0.16516,-1.9932,-2.125,0.93561,1.9426
-0.17519,-2.1143,-2.125,0.91833,1.9267
-0.1858,-2.2423,-1.8875,0.82242,1.8332
-0.1858,-2.2423,-2.125,0.91442,1.9231
0.16516,-1.9932,-1.8875,0.82024,1.8314
0.17519,-2.1143,-1.8875,0.82279,1.8336
0.16516,-1.9932,-2.125,0.93561,1.9426
0.17519,-2.1143,-2.125,0.91832,1.9267
0.1858,-2.2423,-1.8875,0.82241,1.8332
0.1858,-2.2423,-2.125,0.91441,1.9231
0.49097,-1.9388,-1.8875,0.82024,1.8314
0.5208,-2.0566,-1.8875,0.82279,1.8336
0.49097,-1.9388,-2.125,0.9356,1.9426
0.5208,-2.0566,-2.125,0.91832,1.9267
0.55234,-2.1812,-1.8875,0.8224,1.8332
0.55234,-2.1812,-2.125,0.9144,1.9231
0.80339,-1.8315,-1.8875,0.82024,1.8314
0.8522,-1.9428,-1.8875,0.82279,1.8336
0.80339,-1.8315,-2.125,0.9356,1.9426
0.8522,-1.9428,-2.125,0.91832,1.9267
0.90381,-2.0605,-1.8875,0.8224,1.8332
0.90381,-2.0605,-2.125,0.9144,1.9231
1.0939,-1.6743,-1.8875,0.82024,1.8314
1.1604,-1.7761,-1.8875,0.82279,1.8336
1.0939,-1.6743,-2.125,0.93561,1.9426
1.1604,-1.7761,-2.125,0.91832,1.9267
1.2306,-1.8836,-1.8875,0.82241,1.8332
1.2306,-1.8836,-2.125,0.91441,1.9231
1.3546,-1.4714,-1.8875,0.82026,1.8314
1.4369,-1.5609,-1.8875,0.82281,1.8336
1.3546,-1.4714,-2.125,0.93561,1.9426
1.4369,-1.5609,-2.125,0.91834,1.9267
1.5239,-1.6554,-1.8875,0.82243,1.8332
1.5239,-1.6554,-2.125,0.91442,1.9231
1.5783,-1.2284,-1.8875,0.82027,1.8314
1.6742,-1.3031,-1.8875,0.82284,1.8337
1.5783,-1.2284,-2.125,0.93579,1.9428
1.6742,-1.3031,-2.125,0.91838,1.9268
1.7756,-1.382,-1.8875,0.82246,1.8332
1.7756,-1.382,-2.125,0.91445,1.9231
1.7589,-0.95189,-1.8875,0.8203,1.8315
1.8658,-1.0097,-1.8875,0.82286,1.8337
1.7589,-0.95189,-2.125,0.93581,1.9428
1.8658,-1.0097,-2.125,0.9184,1.9268
1.9788,-1.0709,-1.8875,0.82248,1.8333
1.9788,-1.0709,-2.125,0.91447,1.9231
1.8916,-0.6494,-1.8875,0.82031,1.8315
2.0066,-0.68886,-1.8875,0.82287,1.8337
1.8916,-0.6494,-2.125,0.93581,1.9428
2.0066,-0.68886,-2.125,0.91841,1.9268
2.1281,-0.73057,-1.8875,0.82249,1.8333
2.1281,-0.73057,-2.125,0.91448,1.9231
1.9727,-0.32919,-1.8875,0.82031,1.8315
2.0924,-0.34916,-1.8875,0.82289,1.8337
1.9727,-0.32919,-2.125,0.93587,1.9428
2.0924,-0.34916,-2.125,0.91843,1.9268
2.2193,-0.37034,-1.8875,0.8225,1.8333
2.2193,-0.37034,-2.125,0.91449,1.9231
2,0,-1.65,0.73241,1.7368
1.9727,0.32919,-1.65,0.73241,1.7368
