x,y,z,t,V,T
0.0,2e-05,1e-05,0.0,0.3873892,302.1939
0.0,2e-05,1e-05,0.1,0.5945038,391.51627
0.0,2e-05,1e-05,0.2,0.77412945,390.64117
0.0,2e-05,1e-05,0.3,0.63512456,390.35806
0.0,2e-05,1e-05,0.4,0.5674379,394.65118
0.0,2e-05,1e-05,0.5,0.56932306,393.08243
0.0,2e-05,1e-05,0.6,0.56854403,393.4944
0.0,2e-05,1e-05,0.7,0.5682738,393.63947
0.0,2e-05,1e-05,0.8,0.56815434,393.7037
0.0,2e-05,1e-05,0.9,0.5680939,393.7361
0.0,2e-05,1e-05,1.0,0.5680602,393.75436
0.0,2e-05,0.0,0.0,0.38737267,302.19144
0.0,2e-05,0.0,0.1,0.5945037,391.51617
0.0,2e-05,0.0,0.2,0.77412784,390.64154
0.0,2e-05,0.0,0.3,0.635121,390.3582
0.0,2e-05,0.0,0.4,0.56743836,394.65094
0.0,2e-05,0.0,0.5,0.5693232,393.08243
0.0,2e-05,0.0,0.6,0.5685441,393.4944
0.0,2e-05,0.0,0.7,0.5682738,393.63947
0.0,2e-05,0.0,0.8,0.56815434,393.7037
0.0,2e-05,0.0,0.9,0.5680939,393.7361
0.0,2e-05,0.0,1.0,0.5680602,393.75436
1.28e-05,1.38e-05,1e-05,0.0,0.38737574,302.19193
1.28e-05,1.38e-05,1e-05,0.1,0.5945038,391.51492
1.28e-05,1.38e-05,1e-05,0.2,0.7741324,390.64053
1.28e-05,1.38e-05,1e-05,0.3,0.6351344,390.3578
1.28e-05,1.38e-05,1e-05,0.4,0.5674372,394.6517
1.28e-05,1.38e-05,1e-05,0.5,0.569323,393.08243
1.28e-05,1.38e-05,1e-05,0.6,0.568544,393.4944
1.28e-05,1.38e-05,1e-05,0.7,0.5682737,393.63947
1.28e-05,1.38e-05,1e-05,0.8,0.56815434,393.7037
1.28e-05,1.38e-05,1e-05,0.9,0.5680939,393.7361
1.28e-05,1.38e-05,1e-05,1.0,0.5680602,393.75436
0.0,0.0,0.0,0.0,0.38740787,302.19675
0.0,0.0,0.0,0.1,0.59450376,391.51898
0.0,0.0,0.0,0.2,0.77412283,390.64246
0.0,0.0,0.0,0.3,0.6351024,390.35864
0.0,0.0,0.0,0.4,0.56744003,394.64987
0.0,0.0,0.0,0.5,0.56932306,393.08243
0.0,0.0,0.0,0.6,0.56854403,393.4944
0.0,0.0,0.0,0.7,0.5682737,393.63947
0.0,0.0,0.0,0.8,0.56815434,393.7037
0.0,0.0,0.0,0.9,0.5680939,393.7361
0.0,0.0,0.0,1.0,0.5680602,393.75436
1.28e-05,1.38e-05,0.0,0.0,0.38735896,302.18954
1.28e-05,1.38e-05,0.0,0.1,0.59450376,391.51483
1.28e-05,1.38e-05,0.0,0.2,0.77413076,390.6409
1.28e-05,1.38e-05,0.0,0.3,0.63513094,390.35797
1.28e-05,1.38e-05,0.0,0.4,0.5674376,394.65155
1.28e-05,1.38e-05,0.0,0.5,0.56932294,393.08243
1.28e-05,1.38e-05,0.0,0.6,0.568544,393.4944
1.28e-05,1.38e-05,0.0,0.7,0.5682737,393.63947
1.28e-05,1.38e-05,0.0,0.8,0.56815434,393.7037
1.28e-05,1.38e-05,0.0,0.9,0.5680939,393.7361
1.28e-05,1.38e-05,0.0,1.0,0.5680602,393.75436
0.0,0.0,1e-05,0.0,0.38742453,302.19904
0.0,0.0,1e-05,0.1,0.5945038,391.51907
0.0,0.0,1e-05,0.2,0.7741243,390.64218
0.0,0.0,1e-05,0.3,0.63510597,390.35864
0.0,0.0,1e-05,0.4,0.56743956,394.65027
0.0,0.0,1e-05,0.5,0.56932306,393.08243
0.0,0.0,1e-05,0.6,0.568544,393.4944
0.0,0.0,1e-05,0.7,0.5682737,393.63947
0.0,0.0,1e-05,0.8,0.56815434,393.7037
0.0,0.0,1e-05,0.9,0.5680939,393.7361
0.0,0.0,1e-05,1.0,0.5680602,393.75436
2e-05,0.0,1e-05,0.0,0.3873864,302.19348
2e-05,0.0,1e-05,0.1,0.5945039,391.51572
2e-05,0.0,1e-05,0.2,0.77413136,390.64078
2e-05,0.0,1e-05,0.3,0.63513035,390.35794
2e-05,0.0,1e-05,0.4,0.56743747,394.6516
2e-05,0.0,1e-05,0.5,0.56932306,393.08243
2e-05,0.0,1e-05,0.6,0.56854403,393.4944
2e-05,0.0,1e-05,0.7,0.5682737,393.63947
2e-05,0.0,1e-05,0.8,0.56815434,393.7037
2e-05,0.0,1e-05,0.9,0.5680939,393.7361
2e-05,0.0,1e-05,1.0,0.5680602,393.75436
2e-05,0.0,0.0,0.0,0.3873695,302.19098
2e-05,0.0,0.0,0.1,0.5945039,391.51556
2e-05,0.0,0.0,0.2,0.77413005,390.641
2e-05,0.0,0.0,0.3,0.6351267,390.35803
2e-05,0.0,0.0,0.4,0.5674378,394.6513
2e-05,0.0,0.0,0.5,0.5693231,393.08243
2e-05,0.0,0.0,0.6,0.56854403,393.4944
2e-05,0.0,0.0,0.7,0.5682738,393.63947
2e-05,0.0,0.0,0.8,0.56815434,393.7037
2e-05,0.0,0.0,0.9,0.5680939,393.7361
2e-05,0.0,0.0,1.0,0.5680602,393.75436
0.0,4.01e-05,0.0,0.0,0.38733706,302.1863
0.0,4.01e-05,0.0,0.1,0.59450376,391.51328
0.0,4.01e-05,0.0,0.2,0.7741329,390.64056
0.0,4.01e-05,0.0,0.3,0.63513976,390.3578
0.0,4.01e-05,0.0,0.4,0.56743705,394.652
0.0,4.01e-05,0.0,0.5,0.5693229,393.08243
0.0,4.01e-05,0.0,0.6,0.568544,393.4944
0.0,4.01e-05,0.0,0.7,0.5682737,393.63947
0.0,4.01e-05,0.0,0.8,0.56815434,393.7037
0.0,4.01e-05,0.0,0.9,0.5680939,393.7361
0.0,4.01e-05,0.0,1.0,0.5680602,393.75436
0.0,4e-05,1e-05,0.0,0.38735393,302.1887
0.0,4e-05,1e-05,0.1,0.5945038,391.51343
0.0,4e-05,1e-05,0.2,0.7741345,390.6403
0.0,4e-05,1e-05,0.3,0.6351431,390.35764
0.0,4e-05,1e-05,0.4,0.5674365,394.65225
0.0,4e-05,1e-05,0.5,0.56932306,393.08243
0.0,4e-05,1e-05,0.6,0.568544,393.4944
0.0,4e-05,1e-05,0.7,0.56827366,393.63947
0.0,4e-05,1e-05,0.8,0.56815434,393.7037
0.0,4e-05,1e-05,0.9,0.5680939,393.7361
0.0,4e-05,1e-05,1.0,0.5680602,393.75436
1.47e-05,3.02e-05,0.0,0.0,0.38732633,302.18466
1.47e-05,3.02e-05,0.0,0.1,0.5945035,391.51212
1.47e-05,3.02e-05,0.0,0.2,0.7741356,390.64
1.47e-05,3.02e-05,0.0,0.3,0.6351483,390.3576
1.47e-05,3.02e-05,0.0,0.4,0.5674361,394.6525
1.47e-05,3.02e-05,0.0,0.5,0.5693232,393.08243
1.47e-05,3.02e-05,0.0,0.6,0.56854403,393.4944
1.47e-05,3.02e-05,0.0,0.7,0.56827366,393.63947
1.47e-05,3.02e-05,0.0,0.8,0.56815434,393.7037
1.47e-05,3.02e-05,0.0,0.9,0.5680939,393.7361
1.47e-05,3.02e-05,0.0,1.0,0.5680602,393.75436
1.48e-05,4.94e-05,0.0,0.0,0.38729215,302.17966
1.48e-05,4.94e-05,0.0,0.1,0.59450346,391.5094
1.48e-05,4.94e-05,0.0,0.2,0.77414006,390.63928
1.48e-05,4.94e-05,0.0,0.3,0.63516605,390.35703
1.48e-05,4.94e-05,0.0,0.4,0.56743443,394.65353
1.48e-05,4.94e-05,0.0,0.5,0.5693232,393.0824
1.48e-05,4.94e-05,0.0,0.6,0.56854403,393.4944
1.48e-05,4.94e-05,0.0,0.7,0.56827366,393.63943
1.48e-05,4.94e-05,0.0,0.8,0.5681544,393.70367
1.48e-05,4.94e-05,0.0,0.9,0.5680939,393.7361
1.48e-05,4.94e-05,0.0,1.0,0.56806016,393.75436
0.0,6.01e-05,0.0,0.0,0.38730165,302.18106
0.0,6.01e-05,0.0,0.1,0.5945035,391.51044
0.0,6.01e-05,0.0,0.2,0.7741375,390.63962
0.0,6.01e-05,0.0,0.3,0.6351581,390.3573
0.0,6.01e-05,0.0,0.4,0.5674353,394.65305
0.0,6.01e-05,0.0,0.5,0.5693231,393.0824
0.0,6.01e-05,0.0,0.6,0.568544,393.4944
0.0,6.01e-05,0.0,0.7,0.5682737,393.63947
0.0,6.01e-05,0.0,0.8,0.56815434,393.70367
0.0,6.01e-05,0.0,0.9,0.5680939,393.7361
0.0,6.01e-05,0.0,1.0,0.56806016,393.75436
