X,Y,Z,t,V,T
0.0,2e-05,1e-05,0.0,1.0,317.0956634
0.0,2e-05,1e-05,0.1,1.0,390.0533932
0.0,2e-05,1e-05,0.2,1.0,390.0533932
0.0,2e-05,1e-05,0.3,1.0,390.0533932
0.0,2e-05,1e-05,0.4,1.0,390.0533932
0.0,2e-05,1e-05,0.5,1.0,390.0533932
0.0,2e-05,1e-05,0.6,1.0,390.0533932
0.0,2e-05,1e-05,0.7,1.0,390.0533932
0.0,2e-05,1e-05,0.8,1.0,390.0533932
0.0,2e-05,1e-05,0.9,1.0,390.0533932
0.0,2e-05,1e-05,1.0,1.0,390.0533932
0.0,2e-05,0.0,0.0,1.0,317.0956639
0.0,2e-05,0.0,0.1,1.0,390.053396
0.0,2e-05,0.0,0.2,1.0,390.053396
0.0,2e-05,0.0,0.3,1.0,390.053396
0.0,2e-05,0.0,0.4,1.0,390.053396
0.0,2e-05,0.0,0.5,1.0,390.053396
0.0,2e-05,0.0,0.6,1.0,390.053396
0.0,2e-05,0.0,0.7,1.0,390.053396
0.0,2e-05,0.0,0.8,1.0,390.053396
0.0,2e-05,0.0,0.9,1.0,390.053396
0.0,2e-05,0.0,1.0,1.0,390.053396
1.28e-05,1.38e-05,1e-05,0.0,0.987159103,317.0960288
1.28e-05,1.38e-05,1e-05,0.1,0.987159103,390.0553246
1.28e-05,1.38e-05,1e-05,0.2,0.987159103,390.0553246
1.28e-05,1.38e-05,1e-05,0.3,0.987159103,390.0553246
1.28e-05,1.38e-05,1e-05,0.4,0.987159103,390.0553246
1.28e-05,1.38e-05,1e-05,0.5,0.987159103,390.0553246
1.28e-05,1.38e-05,1e-05,0.6,0.987159103,390.0553246
1.28e-05,1.38e-05,1e-05,0.7,0.987159103,390.0553246
1.28e-05,1.38e-05,1e-05,0.8,0.987159103,390.0553246
1.28e-05,1.38e-05,1e-05,0.9,0.987159103,390.0553246
1.28e-05,1.38e-05,1e-05,1.0,0.987159103,390.0553246
0.0,0.0,0.0,0.0,1.0,317.0949798
0.0,0.0,0.0,0.1,1.0,390.0497914
0.0,0.0,0.0,0.2,1.0,390.0497914
0.0,0.0,0.0,0.3,1.0,390.0497914
0.0,0.0,0.0,0.4,1.0,390.0497914
0.0,0.0,0.0,0.5,1.0,390.0497914
0.0,0.0,0.0,0.6,1.0,390.0497914
0.0,0.0,0.0,0.7,1.0,390.0497914
0.0,0.0,0.0,0.8,1.0,390.0497914
0.0,0.0,0.0,0.9,1.0,390.0497914
0.0,0.0,0.0,1.0,1.0,390.0497914
1.28e-05,1.38e-05,0.0,0.0,0.987152761,317.096029
1.28e-05,1.38e-05,0.0,0.1,0.987152761,390.0553255
1.28e-05,1.38e-05,0.0,0.2,0.987152761,390.0553255
1.28e-05,1.38e-05,0.0,0.3,0.987152761,390.0553255
1.28e-05,1.38e-05,0.0,0.4,0.987152761,390.0553255
1.28e-05,1.38e-05,0.0,0.5,0.987152761,390.0553255
1.28e-05,1.38e-05,0.0,0.6,0.987152761,390.0553255
1.28e-05,1.38e-05,0.0,0.7,0.987152761,390.0553255
1.28e-05,1.38e-05,0.0,0.8,0.987152761,390.0553255
1.28e-05,1.38e-05,0.0,0.9,0.987152761,390.0553255
1.28e-05,1.38e-05,0.0,1.0,0.987152761,390.0553255
0.0,0.0,1e-05,0.0,1.0,317.0949798
0.0,0.0,1e-05,0.1,1.0,390.0497915
0.0,0.0,1e-05,0.2,1.0,390.0497915
0.0,0.0,1e-05,0.3,1.0,390.0497915
0.0,0.0,1e-05,0.4,1.0,390.0497915
0.0,0.0,1e-05,0.5,1.0,390.0497915
0.0,0.0,1e-05,0.6,1.0,390.0497915
0.0,0.0,1e-05,0.7,1.0,390.0497915
0.0,0.0,1e-05,0.8,1.0,390.0497915
0.0,0.0,1e-05,0.9,1.0,390.0497915
0.0,0.0,1e-05,1.0,1.0,390.0497915
2e-05,0.0,1e-05,0.0,0.98,317.0958136
2e-05,0.0,1e-05,0.1,0.98,390.0542
2e-05,0.0,1e-05,0.2,0.98,390.0542
2e-05,0.0,1e-05,0.3,0.98,390.0542
2e-05,0.0,1e-05,0.4,0.98,390.0542
2e-05,0.0,1e-05,0.5,0.98,390.0542
2e-05,0.0,1e-05,0.6,0.98,390.0542
2e-05,0.0,1e-05,0.7,0.98,390.0542
2e-05,0.0,1e-05,0.8,0.98,390.0542
2e-05,0.0,1e-05,0.9,0.98,390.0542
2e-05,0.0,1e-05,1.0,0.98,390.0542
2e-05,0.0,0.0,0.0,0.98,317.0958136
2e-05,0.0,0.0,0.1,0.98,390.0542
2e-05,0.0,0.0,0.2,0.98,390.0542
2e-05,0.0,0.0,0.3,0.98,390.0542
2e-05,0.0,0.0,0.4,0.98,390.0542
2e-05,0.0,0.0,0.5,0.98,390.0542
2e-05,0.0,0.0,0.6,0.98,390.0542
2e-05,0.0,0.0,0.7,0.98,390.0542
2e-05,0.0,0.0,0.8,0.98,390.0542
2e-05,0.0,0.0,0.9,0.98,390.0542
2e-05,0.0,0.0,1.0,0.98,390.0542
0.0,4.01e-05,0.0,0.0,1.0,317.0960054
0.0,4.01e-05,0.0,0.1,1.0,390.0551963
0.0,4.01e-05,0.0,0.2,1.0,390.0551963
0.0,4.01e-05,0.0,0.3,1.0,390.0551963
0.0,4.01e-05,0.0,0.4,1.0,390.0551963
0.0,4.01e-05,0.0,0.5,1.0,390.0551963
0.0,4.01e-05,0.0,0.6,1.0,390.0551963
0.0,4.01e-05,0.0,0.7,1.0,390.0551963
0.0,4.01e-05,0.0,0.8,1.0,390.0551963
0.0,4.01e-05,0.0,0.9,1.0,390.0551963
0.0,4.01e-05,0.0,1.0,1.0,390.0551963
0.0,4e-05,1e-05,0.0,1.0,317.0960049
0.0,4e-05,1e-05,0.1,1.0,390.0551939
0.0,4e-05,1e-05,0.2,1.0,390.0551939
0.0,4e-05,1e-05,0.3,1.0,390.0551939
0.0,4e-05,1e-05,0.4,1.0,390.0551939
0.0,4e-05,1e-05,0.5,1.0,390.0551939
0.0,4e-05,1e-05,0.6,1.0,390.0551939
0.0,4e-05,1e-05,0.7,1.0,390.0551939
0.0,4e-05,1e-05,0.8,1.0,390.0551939
0.0,4e-05,1e-05,0.9,1.0,390.0551939
0.0,4e-05,1e-05,1.0,1.0,390.0551939
1.47e-05,3.02e-05,0.0,0.0,0.985253166,317.0964993
1.47e-05,3.02e-05,0.0,0.1,0.985253166,390.0578067
1.47e-05,3.02e-05,0.0,0.2,0.985253166,390.0578067
1.47e-05,3.02e-05,0.0,0.3,0.985253166,390.0578067
1.47e-05,3.02e-05,0.0,0.4,0.985253166,390.0578067
1.47e-05,3.02e-05,0.0,0.5,0.985253166,390.0578067
1.47e-05,3.02e-05,0.0,0.6,0.985253166,390.0578067
1.47e-05,3.02e-05,0.0,0.7,0.985253166,390.0578067
1.47e-05,3.02e-05,0.0,0.8,0.985253166,390.0578067
1.47e-05,3.02e-05,0.0,0.9,0.985253166,390.0578067
1.47e-05,3.02e-05,0.0,1.0,0.985253166,390.0578067
1.48e-05,4.94e-05,0.0,0.0,0.985167734,317.0966698
1.48e-05,4.94e-05,0.0,0.1,0.985167734,390.0587057
1.48e-05,4.94e-05,0.0,0.2,0.985167734,390.0587057
1.48e-05,4.94e-05,0.0,0.3,0.985167734,390.0587057
1.48e-05,4.94e-05,0.0,0.4,0.985167734,390.0587057
1.48e-05,4.94e-05,0.0,0.5,0.985167734,390.0587057
1.48e-05,4.94e-05,0.0,0.6,0.985167734,390.0587057
1.48e-05,4.94e-05,0.0,0.7,0.985167734,390.0587057
1.48e-05,4.94e-05,0.0,0.8,0.985167734,390.0587057
1.48e-05,4.94e-05,0.0,0.9,0.985167734,390.0587057
1.48e-05,4.94e-05,0.0,1.0,0.985167734,390.0587057
0.0,6.01e-05,0.0,0.0,1.0,317.0960038
0.0,6.01e-05,0.0,0.1,1.0,390.0551879
0.0,6.01e-05,0.0,0.2,1.0,390.0551879
0.0,6.01e-05,0.0,0.3,1.0,390.0551879
0.0,6.01e-05,0.0,0.4,1.0,390.0551879
0.0,6.01e-05,0.0,0.5,1.0,390.0551879
0.0,6.01e-05,0.0,0.6,1.0,390.0551879
0.0,6.01e-05,0.0,0.7,1.0,390.0551879
0.0,6.01e-05,0.0,0.8,1.0,390.0551879
0.0,6.01e-05,0.0,0.9,1.0,390.0551879
0.0,6.01e-05,0.0,1.0,1.0,390.0551879
0.0,6e-05,1e-05,0.0,1.0,317.0960049
0.0,6e-05,1e-05,0.1,1.0,390.0551939
0.0,6e-05,1e-05,0.2,1.0,390.0551939
0.0,6e-05,1e-05,0.3,1.0,390.0551939
0.0,6e-05,1e-05,0.4,1.0,390.0551939
0.0,6e-05,1e-05,0.5,1.0,390.0551939
0.0,6e-05,1e-05,0.6,1.0,390.0551939
0.0,6e-05,1e-05,0.7,1.0,390.0551939
0.0,6e-05,1e-05,0.8,1.0,390.0551939
0.0,6e-05,1e-05,0.9,1.0,390.0551939
0.0,6e-05,1e-05,1.0,1.0,390.0551939
1.58e-05,4.94e-05,1e-05,0.0,0.98421414,317.096709
1.58e-05,4.94e-05,1e-05,0.1,0.98421414,390.0589135
1.58e-05,4.94e-05,1e-05,0.2,0.98421414,390.0589135
1.58e-05,4.94e-05,1e-05,0.3,0.98421414,390.0589135
1.58e-05,4.94e-05,1e-05,0.4,0.98421414,390.0589135
1.58e-05,4.94e-05,1e-05,0.5,0.98421414,390.0589135
1.58e-05,4.94e-05,1e-05,0.6,0.98421414,390.0589135
1.58e-05,4.94e-05,1e-05,0.7,0.98421414,390.0589135
1.58e-05,4.94e-05,1e-05,0.8,0.98421414,390.0589135
1.58e-05,4.94e-05,1e-05,0.9,0.98421414,390.0589135
1.58e-05,4.94e-05,1e-05,1.0,0.98421414,390.0589135
1.48e-05,3.02e-05,1e-05,0.0,0.985192051,317.096501
1.48e-05,3.02e-05,1e-05,0.1,0.985192051,390.0578156
1.48e-05,3.02e-05,1e-05,0.2,0.985192051,390.0578156
1.48e-05,3.02e-05,1e-05,0.3,0.985192051,390.0578156
1.48e-05,3.02e-05,1e-05,0.4,0.985192051,390.0578156
1.48e-05,3.02e-05,1e-05,0.5,0.985192051,390.0578156
1.48e-05,3.02e-05,1e-05,0.6,0.985192051,390.0578156
1.48e-05,3.02e-05,1e-05,0.7,0.985192051,390.0578156
1.48e-05,3.02e-05,1e-05,0.8,0.985192051,390.0578156
1.48e-05,3.02e-05,1e-05,0.9,0.985192051,390.0578156
1.48e-05,3.02e-05,1e-05,1.0,0.985192051,390.0578156
2.98e-05,1.76e-05,0.0,0.0,0.970175585,317.0968268
2.98e-05,1.76e-05,0.0,0.1,0.970175585,390.0595578
2.98e-05,1.76e-05,0.0,0.2,0.970175585,390.0595578
2.98e-05,1.76e-05,0.0,0.3,0.970175585,390.0595578
2.98e-05,1.76e-05,0.0,0.4,0.970175585,390.0595578
2.98e-05,1.76e-05,0.0,0.5,0.970175585,390.0595578
2.98e-05,1.76e-05,0.0,0.6,0.970175585,390.0595578
