x,y,z,t,V,T
0.0,2e-05,1e-05,0.0,0.40454647,300.0555
0.0,2e-05,1e-05,0.1,0.6940741,361.35687
0.0,2e-05,1e-05,0.2,0.46481043,380.5238
0.0,2e-05,1e-05,0.3,0.4774061,386.3731
0.0,2e-05,1e-05,0.4,0.48720273,388.69275
0.0,2e-05,1e-05,0.5,0.4890352,389.45914
0.0,2e-05,1e-05,0.6,0.4893632,389.71323
0.0,2e-05,1e-05,0.7,0.4895997,389.81073
0.0,2e-05,1e-05,0.8,0.48984015,389.8545
0.0,2e-05,1e-05,0.9,0.49005228,389.87695
0.0,2e-05,1e-05,1.0,0.490223,389.88983
0.0,2e-05,0.0,0.0,0.4045492,300.0555
0.0,2e-05,0.0,0.1,0.6940767,361.3566
0.0,2e-05,0.0,0.2,0.46481043,380.5238
0.0,2e-05,0.0,0.3,0.47740585,386.37308
0.0,2e-05,0.0,0.4,0.48720258,388.69275
0.0,2e-05,0.0,0.5,0.48903525,389.45914
0.0,2e-05,0.0,0.6,0.4893632,389.71323
0.0,2e-05,0.0,0.7,0.4895997,389.81073
0.0,2e-05,0.0,0.8,0.48984015,389.8545
0.0,2e-05,0.0,0.9,0.49005228,389.87695
0.0,2e-05,0.0,1.0,0.49022305,389.88983
1.28e-05,1.38e-05,1e-05,0.0,0.40454382,300.05554
1.28e-05,1.38e-05,1e-05,0.1,0.6940722,361.35706
1.28e-05,1.38e-05,1e-05,0.2,0.46481043,380.52383
1.28e-05,1.38e-05,1e-05,0.3,0.4774062,386.3731
1.28e-05,1.38e-05,1e-05,0.4,0.4872027,388.69275
1.28e-05,1.38e-05,1e-05,0.5,0.4890352,389.45914
1.28e-05,1.38e-05,1e-05,0.6,0.489363,389.71323
1.28e-05,1.38e-05,1e-05,0.7,0.4895997,389.81073
1.28e-05,1.38e-05,1e-05,0.8,0.48984015,389.8545
1.28e-05,1.38e-05,1e-05,0.9,0.49005228,389.87695
1.28e-05,1.38e-05,1e-05,1.0,0.490223,389.88983
0.0,0.0,0.0,0.0,0.40457705,300.0552
0.0,0.0,0.0,0.1,0.69410086,361.3536
0.0,0.0,0.0,0.2,0.46481103,380.52304
0.0,0.0,0.0,0.3,0.47740465,386.37286
0.0,0.0,0.0,0.4,0.4872021,388.69272
0.0,0.0,0.0,0.5,0.48903537,389.45908
0.0,0.0,0.0,0.6,0.48936298,389.71323
0.0,0.0,0.0,0.7,0.48959953,389.81073
0.0,0.0,0.0,0.8,0.4898402,389.8545
0.0,0.0,0.0,0.9,0.49005222,389.87692
0.0,0.0,0.0,1.0,0.490223,389.88983
1.28e-05,1.38e-05,0.0,0.0,0.40454793,300.05548
1.28e-05,1.38e-05,0.0,0.1,0.69407517,361.35675
1.28e-05,1.38e-05,0.0,0.2,0.46481037,380.5238
1.28e-05,1.38e-05,0.0,0.3,0.47740614,386.3731
1.28e-05,1.38e-05,0.0,0.4,0.4872027,388.69275
1.28e-05,1.38e-05,0.0,0.5,0.4890352,389.45914
1.28e-05,1.38e-05,0.0,0.6,0.4893632,389.71323
1.28e-05,1.38e-05,0.0,0.7,0.4895997,389.81073
1.28e-05,1.38e-05,0.0,0.8,0.48984015,389.8545
1.28e-05,1.38e-05,0.0,0.9,0.49005228,389.87695
1.28e-05,1.38e-05,0.0,1.0,0.490223,389.88983
0.0,0.0,1e-05,0.0,0.40457436,300.0553
0.0,0.0,1e-05,0.1,0.6940981,361.35388
0.0,0.0,1e-05,0.2,0.46481097,380.52313
0.0,0.0,1e-05,0.3,0.47740465,386.3729
0.0,0.0,1e-05,0.4,0.4872023,388.69272
0.0,0.0,1e-05,0.5,0.48903537,389.45908
0.0,0.0,1e-05,0.6,0.48936293,389.71323
0.0,0.0,1e-05,0.7,0.48959953,389.81073
0.0,0.0,1e-05,0.8,0.48984015,389.8545
0.0,0.0,1e-05,0.9,0.49005222,389.87695
0.0,0.0,1e-05,1.0,0.49022305,389.88983
2e-05,0.0,1e-05,0.0,0.40455768,300.05548
2e-05,0.0,1e-05,0.1,0.6940839,361.3557
2e-05,0.0,1e-05,0.2,0.4648108,380.52362
2e-05,0.0,1e-05,0.3,0.47740546,386.37308
2e-05,0.0,1e-05,0.4,0.4872027,388.69272
2e-05,0.0,1e-05,0.5,0.48903528,389.4591
2e-05,0.0,1e-05,0.6,0.48936313,389.71323
2e-05,0.0,1e-05,0.7,0.4895996,389.81073
2e-05,0.0,1e-05,0.8,0.48984015,389.8545
2e-05,0.0,1e-05,0.9,0.49005228,389.87695
2e-05,0.0,1e-05,1.0,0.49022305,389.88983
2e-05,0.0,0.0,0.0,0.4045608,300.0554
2e-05,0.0,0.0,0.1,0.6940868,361.35532
2e-05,0.0,0.0,0.2,0.4648111,380.52347
2e-05,0.0,0.0,0.3,0.47740546,386.37305
2e-05,0.0,0.0,0.4,0.48720267,388.69272
2e-05,0.0,0.0,0.5,0.4890353,389.4591
2e-05,0.0,0.0,0.6,0.48936316,389.71323
2e-05,0.0,0.0,0.7,0.48959953,389.81073
2e-05,0.0,0.0,0.8,0.48984015,389.8545
2e-05,0.0,0.0,0.9,0.49005228,389.87695
2e-05,0.0,0.0,1.0,0.49022305,389.88983
0.0,4.01e-05,0.0,0.0,0.4045205,300.05582
0.0,4.01e-05,0.0,0.1,0.69405234,361.3596
0.0,4.01e-05,0.0,0.2,0.4648102,380.5245
0.0,4.01e-05,0.0,0.3,0.47740734,386.37335
0.0,4.01e-05,0.0,0.4,0.48720306,388.69284
0.0,4.01e-05,0.0,0.5,0.48903537,389.45917
0.0,4.01e-05,0.0,0.6,0.48936296,389.71323
0.0,4.01e-05,0.0,0.7,0.48959976,389.81073
0.0,4.01e-05,0.0,0.8,0.4898401,389.8545
0.0,4.01e-05,0.0,0.9,0.49005228,389.87692
0.0,4.01e-05,0.0,1.0,0.490223,389.88983
0.0,4e-05,1e-05,0.0,0.40451777,300.0559
0.0,4e-05,1e-05,0.1,0.69404954,361.36
0.0,4e-05,1e-05,0.2,0.4648102,380.52457
0.0,4e-05,1e-05,0.3,0.47740752,386.37335
0.0,4e-05,1e-05,0.4,0.48720297,388.69284
0.0,4e-05,1e-05,0.5,0.48903543,389.45923
0.0,4e-05,1e-05,0.6,0.48936304,389.71323
0.0,4e-05,1e-05,0.7,0.4895997,389.81073
0.0,4e-05,1e-05,0.8,0.4898401,389.8545
0.0,4e-05,1e-05,0.9,0.49005228,389.87692
0.0,4e-05,1e-05,1.0,0.490223,389.88983
1.47e-05,3.02e-05,0.0,0.0,0.40452284,300.05582
1.47e-05,3.02e-05,0.0,0.1,0.694054,361.3594
1.47e-05,3.02e-05,0.0,0.2,0.46481013,380.52444
1.47e-05,3.02e-05,0.0,0.3,0.47740728,386.37335
1.47e-05,3.02e-05,0.0,0.4,0.48720294,388.6928
1.47e-05,3.02e-05,0.0,0.5,0.48903543,389.45917
1.47e-05,3.02e-05,0.0,0.6,0.489363,389.71323
1.47e-05,3.02e-05,0.0,0.7,0.48959976,389.81073
1.47e-05,3.02e-05,0.0,0.8,0.4898401,389.8545
1.47e-05,3.02e-05,0.0,0.9,0.49005228,389.87692
1.47e-05,3.02e-05,0.0,1.0,0.490223,389.88983
1.48e-05,4.94e-05,0.0,0.0,0.4044951,300.05618
1.48e-05,4.94e-05,0.0,0.1,0.69403064,361.3622
1.48e-05,4.94e-05,0.0,0.2,0.46481,380.5252
1.48e-05,4.94e-05,0.0,0.3,0.47740835,386.3737
1.48e-05,4.94e-05,0.0,0.4,0.4872033,388.6929
1.48e-05,4.94e-05,0.0,0.5,0.48903537,389.45926
1.48e-05,4.94e-05,0.0,0.6,0.4893633,389.71326
1.48e-05,4.94e-05,0.0,0.7,0.48959976,389.81076
1.48e-05,4.94e-05,0.0,0.8,0.48984003,389.8545
1.48e-05,4.94e-05,0.0,0.9,0.49005228,389.87692
1.48e-05,4.94e-05,0.0,1.0,0.490223,389.88983
0.0,6.01e-05,0.0,0.0,0.40449256,300.05618
0.0,6.01e-05,0.0,0.1,0.69402814,361.36252
0.0,6.01e-05,0.0,0.2,0.4648096,380.5253
0.0,6.01e-05,0.0,0.3,0.4774086,386.37372
0.0,6.01e-05,0.0,0.4,0.48720333,388.69293
0.0,6.01e-05,0.0,0.5,0.4890355,389.45926
0.0,6.01e-05,0.0,0.6,0.4893632,389.71326
0.0,6.01e-05,0.0,0.7,0.48959976,389.81076
0.0,6.01e-05,0.0,0.8,0.48984003,389.8545
0.0,6.01e-05,0.0,0.9,0.49005228,389.87692
0.0,6.01e-05,0.0,1.0,0.490223,389.88983
0.0,6e-05,1e-05,0.0,0.4044891,300.05618
0.0,6e-05,1e-05,0.1,0.6940253,361.36282
0.0,6e-05,1e-05,0.2,0.4648096,380.52533
0.0,6e-05,1e-05,0.3,0.4774087,386.37378
0.0,6e-05,1e-05,0.4,0.48720354,388.69296
0.0,6e-05,1e-05,0.5,0.48903546,389.45926
0.0,6e-05,1e-05,0.6,0.4893632,389.71326
0.0,6e-05,1e-05,0.7,0.48959976,389.81076
0.0,6e-05,1e-05,0.8,0.48984003,389.8545
0.0,6e-05,1e-05,0.9,0.49005228,389.87692
0.0,6e-05,1e-05,1.0,0.490223,389.88983
1.58e-05,4.94e-05,1e-05,0.0,0.40449154,300.05615
1.58e-05,4.94e-05,1e-05,0.1,0.69402695,361.36264
1.58e-05,4.94e-05,1e-05,0.2,0.46480966,380.5253
1.58e-05,4.94e-05,1e-05,0.3,0.4774088,386.37375
1.58e-05,4.94e-05,1e-05,0.4,0.48720324,388.69293
1.58e-05,4.94e-05,1e-05,0.5,0.4890355,389.45926
1.58e-05,4.94e-05,1e-05,0.6,0.4893632,389.71326
1.58e-05,4.94e-05,1e-05,0.7,0.48959976,389.81076
1.58e-05,4.94e-05,1e-05,0.8,0.48984003,389.8545
1.58e-05,4.94e-05,1e-05,0.9,0.49005228,389.87692
1.58e-05,4.94e-05,1e-05,1.0,0.490223,389.88983
1.48e-05,3.02e-05,1e-05,0.0,0.40451953,300.05582
1.48e-05,3.02e-05,1e-05,0.1,0.694051,361.35974
1.48e-05,3.02e-05,1e-05,0.2,0.46481013,380.52454
1.48e-05,3.02e-05,1e-05,0.3,0.4774075,386.37335
1.48e-05,3.02e-05,1e-05,0.4,0.48720306,388.69284
1.48e-05,3.02e-05,1e-05,0.5,0.48903543,389.45917
1.48e-05,3.02e-05,1e-05,0.6,0.48936304,389.71323
1.48e-05,3.02e-05,1e-05,0.7,0.4895997,389.81073
1.48e-05,3.02e-05,1e-05,0.8,0.4898401,389.8545
1.48e-05,3.02e-05,1e-05,0.9,0.49005228,389.87692
1.48e-05,3.02e-05,1e-05,1.0,0.490223,389.88983
2.98e-05,1.76e-05,0.0,0.0,0.40452856,300.0558
2.98e-05,1.76e-05,0.0,0.1,0.6940583,361.35895
2.98e-05,1.76e-05,0.0,0.2,0.46481043,380.52432
2.98e-05,1.76e-05,0.0,0.3,0.47740692,386.37332
2.98e-05,1.76e-05,0.0,0.4,0.48720297,388.6928
2.98e-05,1.76e-05,0.0,0.5,0.4890355,389.45917
2.98e-05,1.76e-05,0.0,0.6,0.48936296,389.71323
2.98e-05,1.76e-05,0.0,0.7,0.4895997,389.81073
2.98e-05,1.76e-05,0.0,0.8,0.4898401,389.8545
2.98e-05,1.76e-05,0.0,0.9,0.49005234,389.87692
2.98e-05,1.76e-05,0.0,1.0,0.490223,389.88983
3.09e-05,1.78e-05,1e-05,0.0,0.40452343,300.05582
3.09e-05,1.78e-05,1e-05,0.1,0.6940546,361.3593
3.09e-05,1.78e-05,1e-05,0.2,0.46481043,380.52444
3.09e-05,1.78e-05,1e-05,0.3,0.47740716,386.37335
3.09e-05,1.78e-05,1e-05,0.4,0.48720294,388.6928
3.09e-05,1.78e-05,1e-05,0.5,0.48903543,389.45917
3.09e-05,1.78e-05,1e-05,0.6,0.489363,389.71323
3.09e-05,1.78e-05,1e-05,0.7,0.48959976,389.81073
3.09e-05,1.78e-05,1e-05,0.8,0.4898401,389.8545
3.09e-05,1.78e-05,1e-05,0.9,0.49005228,389.87692
3.09e-05,1.78e-05,1e-05,1.0,0.490223,389.88983
4.02e-05,6.93e-06,5.05e-06,0.0,0.40453255,300.05566
4.02e-05,6.93e-06,5.05e-06,0.1,0.6940625,361.35837
4.02e-05,6.93e-06,5.05e-06,0.2,0.46481043,380.52417
4.02e-05,6.93e-06,5.05e-06,0.3,0.4774069,386.37323
4.02e-05,6.93e-06,5.05e-06,0.4,0.48720273,388.6928
4.02e-05,6.93e-06,5.05e-06,0.5,0.4890352,389.45917
4.02e-05,6.93e-06,5.05e-06,0.6,0.489363,389.71323
4.02e-05,6.93e-06,5.05e-06,0.7,0.48959976,389.81073
4.02e-05,6.93e-06,5.05e-06,0.8,0.48984015,389.8545
4.02e-05,6.93e-06,5.05e-06,0.9,0.49005228,389.87695
4.02e-05,6.93e-06,5.05e-06,1.0,0.490223,389.88983
4e-05,0.0,1e-05,0.0,0.40454108,300.05557
4e-05,0.0,1e-05,0.1,0.69406986,361.35742
4e-05,0.0,1e-05,0.2,0.4648106,380.52393
4e-05,0.0,1e-05,0.3,0.47740632,386.37314
4e-05,0.0,1e-05,0.4,0.4872027,388.69278
4e-05,0.0,1e-05,0.5,0.4890352,389.45914
4e-05,0.0,1e-05,0.6,0.489363,389.71323
4e-05,0.0,1e-05,0.7,0.4895997,389.81073
4e-05,0.0,1e-05,0.8,0.48984015,389.8545
4e-05,0.0,1e-05,0.9,0.49005228,389.87695
4e-05,0.0,1e-05,1.0,0.49022293,389.88983
4e-05,0.0,0.0,0.0,0.4045442,300.05554
4e-05,0.0,0.0,0.1,0.6940725,361.3571
4e-05,0.0,0.0,0.2,0.46481073,380.52386
4e-05,0.0,0.0,0.3,0.47740626,386.3731
4e-05,0.0,0.0,0.4,0.4872027,388.69275
4e-05,0.0,0.0,0.5,0.4890352,389.45914
4e-05,0.0,0.0,0.6,0.489363,389.71323
4e-05,0.0,0.0,0.7,0.4895997,389.81073
4e-05,0.0,0.0,0.8,0.48984015,389.8545
4e-05,0.0,0.0,0.9,0.49005228,389.87695
4e-05,0.0,0.0,1.0,0.490223,389.88983
0.0,8e-05,0.0,0.0,0.40446416,300.0565
0.0,8e-05,0.0,0.1,0.6940037,361.3654
0.0,8e-05,0.0,0.2,0.4648091,380.52603
0.0,8e-05,0.0,0.3,0.4774099,386.3739
0.0,8e-05,0.0,0.4,0.48720375,388.69302
0.0,8e-05,0.0,0.5,0.48903552,389.4593
0.0,8e-05,0.0,0.6,0.48936307,389.71326
0.0,8e-05,0.0,0.7,0.48959982,389.8108
0.0,8e-05,0.0,0.8,0.4898401,389.8545
0.0,8e-05,0.0,0.9,0.49005234,389.87692
0.0,8e-05,0.0,1.0,0.49022287,389.88983
0.0,8e-05,1e-05,0.0,0.4044606,300.05652
0.0,8e-05,1e-05,0.1,0.6940011,361.36584
0.0,8e-05,1e-05,0.2,0.46480906,380.52615
0.0,8e-05,1e-05,0.3,0.47741014,386.37396
