x,y,z,t,V,T
0.0,4.01e-05,0.0,0.6,0.46150914,389.73282
0.0,4.01e-05,0.0,0.7,0.46150932,389.73267
0.0,4.01e-05,0.0,0.8,0.4615094,389.73267
0.0,4.01e-05,0.0,0.9,0.4615094,389.73267
0.0,4.01e-05,0.0,1.0,0.46150947,389.73267
0.0,4e-05,1e-05,0.0,0.48571518,317.12772
0.0,4e-05,1e-05,0.1,0.4614958,389.71307
0.0,4e-05,1e-05,0.2,0.46150383,389.73523
0.0,4e-05,1e-05,0.3,0.46150705,389.73376
0.0,4e-05,1e-05,0.4,0.46150845,389.73315
0.0,4e-05,1e-05,0.5,0.4615088,389.73288
0.0,4e-05,1e-05,0.6,0.46150914,389.73282
0.0,4e-05,1e-05,0.7,0.46150932,389.73267
0.0,4e-05,1e-05,0.8,0.4615094,389.73267
0.0,4e-05,1e-05,0.9,0.4615094,389.73267
0.0,4e-05,1e-05,1.0,0.46150947,389.73267
1.47e-05,3.02e-05,0.0,0.0,0.48572344,317.1175
1.47e-05,3.02e-05,0.0,0.1,0.4614958,389.71304
1.47e-05,3.02e-05,0.0,0.2,0.46150383,389.73523
1.47e-05,3.02e-05,0.0,0.3,0.46150705,389.73376
1.47e-05,3.02e-05,0.0,0.4,0.46150845,389.73315
1.47e-05,3.02e-05,0.0,0.5,0.4615088,389.73288
1.47e-05,3.02e-05,0.0,0.6,0.46150914,389.73282
1.47e-05,3.02e-05,0.0,0.7,0.46150932,389.73267
1.47e-05,3.02e-05,0.0,0.8,0.4615094,389.73267
1.47e-05,3.02e-05,0.0,0.9,0.4615094,389.73267
1.47e-05,3.02e-05,0.0,1.0,0.46150947,389.73267
1.48e-05,4.94e-05,0.0,0.0,0.48571888,317.12302
1.48e-05,4.94e-05,0.0,0.1,0.4614958,389.71304
1.48e-05,4.94e-05,0.0,0.2,0.46150383,389.73523
1.48e-05,4.94e-05,0.0,0.3,0.46150705,389.73376
1.48e-05,4.94e-05,0.0,0.4,0.46150845,389.73315
1.48e-05,4.94e-05,0.0,0.5,0.4615088,389.73288
1.48e-05,4.94e-05,0.0,0.6,0.46150914,389.73282
1.48e-05,4.94e-05,0.0,0.7,0.46150932,389.73267
1.48e-05,4.94e-05,0.0,0.8,0.4615094,389.73267
1.48e-05,4.94e-05,0.0,0.9,0.4615094,389.73267
1.48e-05,4.94e-05,0.0,1.0,0.46150947,389.73267
0.0,6.01e-05,0.0,0.0,0.485716,317.12634
0.0,6.01e-05,0.0,0.1,0.4614958,389.71307
0.0,6.01e-05,0.0,0.2,0.46150383,389.73523
0.0,6.01e-05,0.0,0.3,0.46150705,389.73376
0.0,6.01e-05,0.0,0.4,0.46150845,389.73315
0.0,6.01e-05,0.0,0.5,0.4615088,389.73288
0.0,6.01e-05,0.0,0.6,0.46150914,389.73282
0.0,6.01e-05,0.0,0.7,0.46150932,389.73267
0.0,6.01e-05,0.0,0.8,0.4615094,389.73267
0.0,6.01e-05,0.0,0.9,0.4615094,389.73267
0.0,6.01e-05,0.0,1.0,0.46150947,389.73267
0.0,6e-05,1e-05,0.0,0.4857104,317.13364
0.0,6e-05,1e-05,0.1,0.46149576,389.7131
0.0,6e-05,1e-05,0.2,0.46150383,389.73523
0.0,6e-05,1e-05,0.3,0.46150705,389.73376
0.0,6e-05,1e-05,0.4,0.46150845,389.73315
0.0,6e-05,1e-05,0.5,0.4615088,389.73288
0.0,6e-05,1e-05,0.6,0.46150914,389.73282
0.0,6e-05,1e-05,0.7,0.46150932,389.73267
0.0,6e-05,1e-05,0.8,0.4615094,389.73267
0.0,6e-05,1e-05,0.9,0.4615094,389.73267
0.0,6e-05,1e-05,1.0,0.46150947,389.73267
1.58e-05,4.94e-05,1e-05,0.0,0.48571333,317.13034
1.58e-05,4.94e-05,1e-05,0.1,0.46149576,389.71307
1.58e-05,4.94e-05,1e-05,0.2,0.46150383,389.73523
1.58e-05,4.94e-05,1e-05,0.3,0.46150705,389.73376
1.58e-05,4.94e-05,1e-05,0.4,0.46150845,389.73315
1.58e-05,4.94e-05,1e-05,0.5,0.4615088,389.73288
1.58e-05,4.94e-05,1e-05,0.6,0.46150914,389.73282
1.58e-05,4.94e-05,1e-05,0.7,0.46150932,389.73267
1.58e-05,4.94e-05,1e-05,0.8,0.4615094,389.73267
1.58e-05,4.94e-05,1e-05,0.9,0.4615094,389.73267
1.58e-05,4.94e-05,1e-05,1.0,0.46150947,389.73267
1.48e-05,3.02e-05,1e-05,0.0,0.48571792,317.12473
1.48e-05,3.02e-05,1e-05,0.1,0.4614958,389.71307
1.48e-05,3.02e-05,1e-05,0.2,0.46150383,389.73523
1.48e-05,3.02e-05,1e-05,0.3,0.46150705,389.73376
1.48e-05,3.02e-05,1e-05,0.4,0.46150845,389.73315
1.48e-05,3.02e-05,1e-05,0.5,0.4615088,389.73288
1.48e-05,3.02e-05,1e-05,0.6,0.46150914,389.73282
1.48e-05,3.02e-05,1e-05,0.7,0.46150932,389.73267
1.48e-05,3.02e-05,1e-05,0.8,0.4615094,389.73267
1.48e-05,3.02e-05,1e-05,0.9,0.4615094,389.73267
1.48e-05,3.02e-05,1e-05,1.0,0.46150947,389.73267
2.98e-05,1.76e-05,0.0,0.0,0.4857267,317.11362
2.98e-05,1.76e-05,0.0,0.1,0.46149576,389.71304
2.98e-05,1.76e-05,0.0,0.2,0.46150383,389.73523
2.98e-05,1.76e-05,0.0,0.3,0.46150705,389.73376
2.98e-05,1.76e-05,0.0,0.4,0.46150845,389.73315
2.98e-05,1.76e-05,0.0,0.5,0.4615088,389.73288
2.98e-05,1.76e-05,0.0,0.6,0.46150914,389.73282
2.98e-05,1.76e-05,0.0,0.7,0.46150932,389.73267
2.98e-05,1.76e-05,0.0,0.8,0.4615094,389.73267
2.98e-05,1.76e-05,0.0,0.9,0.4615094,389.73267
2.98e-05,1.76e-05,0.0,1.0,0.46150947,389.73267
3.09e-05,1.78e-05,1e-05,0.0,0.48572105,317.1209
3.09e-05,1.78e-05,1e-05,0.1,0.4614958,389.71304
3.09e-05,1.78e-05,1e-05,0.2,0.46150383,389.73523
3.09e-05,1.78e-05,1e-05,0.3,0.46150705,389.73376
3.09e-05,1.78e-05,1e-05,0.4,0.46150845,389.73315
3.09e-05,1.78e-05,1e-05,0.5,0.4615088,389.73288
3.09e-05,1.78e-05,1e-05,0.6,0.46150914,389.73282
3.09e-05,1.78e-05,1e-05,0.7,0.46150932,389.73267
3.09e-05,1.78e-05,1e-05,0.8,0.4615094,389.73267
3.09e-05,1.78e-05,1e-05,0.9,0.4615094,389.73267
3.09e-05,1.78e-05,1e-05,1.0,0.46150947,389.73267
4.02e-05,6.93e-06,5.05e-06,0.0,0.48572665,317.11398
4.02e-05,6.93e-06,5.05e-06,0.1,0.46149576,389.71304
