X,Y,Z,t,V,T
0.0,2e-05,1e-05,0.0,1.0,317.0894358
0.0,2e-05,1e-05,0.1,1.0,390.0173813
0.0,2e-05,1e-05,0.2,1.0,390.0173813
0.0,2e-05,1e-05,0.3,1.0,390.0173813
0.0,2e-05,1e-05,0.4,1.0,390.0173813
0.0,2e-05,1e-05,0.5,1.0,390.0173813
0.0,2e-05,1e-05,0.6,1.0,390.0173813
0.0,2e-05,1e-05,0.7,1.0,390.0173813
0.0,2e-05,1e-05,0.8,1.0,390.0173813
0.0,2e-05,1e-05,0.9,1.0,390.0173813
0.0,2e-05,1e-05,1.0,1.0,390.0173813
0.0,2e-05,0.0,0.0,1.0,317.0894369
0.0,2e-05,0.0,0.1,1.0,390.0173869
0.0,2e-05,0.0,0.2,1.0,390.0173869
0.0,2e-05,0.0,0.3,1.0,390.0173869
0.0,2e-05,0.0,0.4,1.0,390.0173869
0.0,2e-05,0.0,0.5,1.0,390.0173869
0.0,2e-05,0.0,0.6,1.0,390.0173869
0.0,2e-05,0.0,0.7,1.0,390.0173869
0.0,2e-05,0.0,0.8,1.0,390.0173869
0.0,2e-05,0.0,0.9,1.0,390.0173869
0.0,2e-05,0.0,1.0,1.0,390.0173869
1.28e-05,1.38e-05,1e-05,0.0,0.987159103,317.0901635
1.28e-05,1.38e-05,1e-05,0.1,0.987159103,390.0212397
1.28e-05,1.38e-05,1e-05,0.2,0.987159103,390.0212397
1.28e-05,1.38e-05,1e-05,0.3,0.987159103,390.0212397
1.28e-05,1.38e-05,1e-05,0.4,0.987159103,390.0212397
1.28e-05,1.38e-05,1e-05,0.5,0.987159103,390.0212397
1.28e-05,1.38e-05,1e-05,0.6,0.987159103,390.0212397
1.28e-05,1.38e-05,1e-05,0.7,0.987159103,390.0212397
1.28e-05,1.38e-05,1e-05,0.8,0.987159103,390.0212397
1.28e-05,1.38e-05,1e-05,0.9,0.987159103,390.0212397
1.28e-05,1.38e-05,1e-05,1.0,0.987159103,390.0212397
0.0,0.0,0.0,0.0,1.0,317.0880699
0.0,0.0,0.0,0.1,1.0,390.0101815
0.0,0.0,0.0,0.2,1.0,390.0101815
0.0,0.0,0.0,0.3,1.0,390.0101815
0.0,0.0,0.0,0.4,1.0,390.0101815
0.0,0.0,0.0,0.5,1.0,390.0101815
0.0,0.0,0.0,0.6,1.0,390.0101815
0.0,0.0,0.0,0.7,1.0,390.0101815
0.0,0.0,0.0,0.8,1.0,390.0101815
0.0,0.0,0.0,0.9,1.0,390.0101815
0.0,0.0,0.0,1.0,1.0,390.0101815
1.28e-05,1.38e-05,0.0,0.0,0.987152761,317.0901639
1.28e-05,1.38e-05,0.0,0.1,0.987152761,390.0212415
1.28e-05,1.38e-05,0.0,0.2,0.987152761,390.0212415
1.28e-05,1.38e-05,0.0,0.3,0.987152761,390.0212415
1.28e-05,1.38e-05,0.0,0.4,0.987152761,390.0212415
1.28e-05,1.38e-05,0.0,0.5,0.987152761,390.0212415
1.28e-05,1.38e-05,0.0,0.6,0.987152761,390.0212415
1.28e-05,1.38e-05,0.0,0.7,0.987152761,390.0212415
1.28e-05,1.38e-05,0.0,0.8,0.987152761,390.0212415
1.28e-05,1.38e-05,0.0,0.9,0.987152761,390.0212415
1.28e-05,1.38e-05,0.0,1.0,0.987152761,390.0212415
0.0,0.0,1e-05,0.0,1.0,317.0880698
0.0,0.0,1e-05,0.1,1.0,390.0101815
0.0,0.0,1e-05,0.2,1.0,390.0101815
0.0,0.0,1e-05,0.3,1.0,390.0101815
0.0,0.0,1e-05,0.4,1.0,390.0101815
0.0,0.0,1e-05,0.5,1.0,390.0101815
0.0,0.0,1e-05,0.6,1.0,390.0101815
0.0,0.0,1e-05,0.7,1.0,390.0101815
0.0,0.0,1e-05,0.8,1.0,390.0101815
0.0,0.0,1e-05,0.9,1.0,390.0101815
0.0,0.0,1e-05,1.0,1.0,390.0101815
2e-05,0.0,1e-05,0.0,0.98,317.0897292
2e-05,0.0,1e-05,0.1,0.98,390.0189869
2e-05,0.0,1e-05,0.2,0.98,390.0189869
2e-05,0.0,1e-05,0.3,0.98,390.0189869
2e-05,0.0,1e-05,0.4,0.98,390.0189869
2e-05,0.0,1e-05,0.5,0.98,390.0189869
2e-05,0.0,1e-05,0.6,0.98,390.0189869
2e-05,0.0,1e-05,0.7,0.98,390.0189869
2e-05,0.0,1e-05,0.8,0.98,390.0189869
2e-05,0.0,1e-05,0.9,0.98,390.0189869
2e-05,0.0,1e-05,1.0,0.98,390.0189869
2e-05,0.0,0.0,0.0,0.98,317.0897292
2e-05,0.0,0.0,0.1,0.98,390.0189869
2e-05,0.0,0.0,0.2,0.98,390.0189869
2e-05,0.0,0.0,0.3,0.98,390.0189869
2e-05,0.0,0.0,0.4,0.98,390.0189869
2e-05,0.0,0.0,0.5,0.98,390.0189869
2e-05,0.0,0.0,0.6,0.98,390.0189869
2e-05,0.0,0.0,0.7,0.98,390.0189869
2e-05,0.0,0.0,0.8,0.98,390.0189869
2e-05,0.0,0.0,0.9,0.98,390.0189869
2e-05,0.0,0.0,1.0,0.98,390.0189869
0.0,4.01e-05,0.0,0.0,1.0,317.0901189
0.0,4.01e-05,0.0,0.1,1.0,390.0209853
0.0,4.01e-05,0.0,0.2,1.0,390.0209853
0.0,4.01e-05,0.0,0.3,1.0,390.0209853
0.0,4.01e-05,0.0,0.4,1.0,390.0209853
0.0,4.01e-05,0.0,0.5,1.0,390.0209853
0.0,4.01e-05,0.0,0.6,1.0,390.0209853
0.0,4.01e-05,0.0,0.7,1.0,390.0209853
0.0,4.01e-05,0.0,0.8,1.0,390.0209853
0.0,4.01e-05,0.0,0.9,1.0,390.0209853
0.0,4.01e-05,0.0,1.0,1.0,390.0209853
0.0,4e-05,1e-05,0.0,1.0,317.0901181
0.0,4e-05,1e-05,0.1,1.0,390.0209805
0.0,4e-05,1e-05,0.2,1.0,390.0209805
0.0,4e-05,1e-05,0.3,1.0,390.0209805
0.0,4e-05,1e-05,0.4,1.0,390.0209805
0.0,4e-05,1e-05,0.5,1.0,390.0209805
0.0,4e-05,1e-05,0.6,1.0,390.0209805
0.0,4e-05,1e-05,0.7,1.0,390.0209805
0.0,4e-05,1e-05,0.8,1.0,390.0209805
0.0,4e-05,1e-05,0.9,1.0,390.0209805
0.0,4e-05,1e-05,1.0,1.0,390.0209805
1.47e-05,3.02e-05,0.0,0.0,0.985253166,317.0911027
1.47e-05,3.02e-05,0.0,0.1,0.985253166,390.0262003
1.47e-05,3.02e-05,0.0,0.2,0.985253166,390.0262003
1.47e-05,3.02e-05,0.0,0.3,0.985253166,390.0262003
1.47e-05,3.02e-05,0.0,0.4,0.985253166,390.0262003
1.47e-05,3.02e-05,0.0,0.5,0.985253166,390.0262003
1.47e-05,3.02e-05,0.0,0.6,0.985253166,390.0262003
1.47e-05,3.02e-05,0.0,0.7,0.985253166,390.0262003
1.47e-05,3.02e-05,0.0,0.8,0.985253166,390.0262003
1.47e-05,3.02e-05,0.0,0.9,0.985253166,390.0262003
1.47e-05,3.02e-05,0.0,1.0,0.985253166,390.0262003
1.48e-05,4.94e-05,0.0,0.0,0.985167734,317.0914431
1.48e-05,4.94e-05,0.0,0.1,0.985167734,390.0279972
1.48e-05,4.94e-05,0.0,0.2,0.985167734,390.0279972
1.48e-05,4.94e-05,0.0,0.3,0.985167734,390.0279972
1.48e-05,4.94e-05,0.0,0.4,0.985167734,390.0279972
1.48e-05,4.94e-05,0.0,0.5,0.985167734,390.0279972
1.48e-05,4.94e-05,0.0,0.6,0.985167734,390.0279972
1.48e-05,4.94e-05,0.0,0.7,0.985167734,390.0279972
1.48e-05,4.94e-05,0.0,0.8,0.985167734,390.0279972
1.48e-05,4.94e-05,0.0,0.9,0.985167734,390.0279972
1.48e-05,4.94e-05,0.0,1.0,0.985167734,390.0279972
0.0,6.01e-05,0.0,0.0,1.0,317.0901158
0.0,6.01e-05,0.0,0.1,1.0,390.0209687
0.0,6.01e-05,0.0,0.2,1.0,390.0209687
0.0,6.01e-05,0.0,0.3,1.0,390.0209687
0.0,6.01e-05,0.0,0.4,1.0,390.0209687
0.0,6.01e-05,0.0,0.5,1.0,390.0209687
0.0,6.01e-05,0.0,0.6,1.0,390.0209687
0.0,6.01e-05,0.0,0.7,1.0,390.0209687
0.0,6.01e-05,0.0,0.8,1.0,390.0209687
0.0,6.01e-05,0.0,0.9,1.0,390.0209687
0.0,6.01e-05,0.0,1.0,1.0,390.0209687
0.0,6e-05,1e-05,0.0,1.0,317.0901181
0.0,6e-05,1e-05,0.1,1.0,390.0209805
0.0,6e-05,1e-05,0.2,1.0,390.0209805
0.0,6e-05,1e-05,0.3,1.0,390.0209805
0.0,6e-05,1e-05,0.4,1.0,390.0209805
0.0,6e-05,1e-05,0.5,1.0,390.0209805
0.0,6e-05,1e-05,0.6,1.0,390.0209805
0.0,6e-05,1e-05,0.7,1.0,390.0209805
0.0,6e-05,1e-05,0.8,1.0,390.0209805
0.0,6e-05,1e-05,0.9,1.0,390.0209805
0.0,6e-05,1e-05,1.0,1.0,390.0209805
1.58e-05,4.94e-05,1e-05,0.0,0.98421414,317.091521
1.58e-05,4.94e-05,1e-05,0.1,0.98421414,390.028412
1.58e-05,4.94e-05,1e-05,0.2,0.98421414,390.028412
1.58e-05,4.94e-05,1e-05,0.3,0.98421414,390.028412
