x,t,u1,u2
0,0,0.59397745,0.13638096
0.005,0,0.6002177,0.14076558
0.01,0,0.60635805,0.14505886
0.05,0,0.6518644,0.17610705
0.1,0,0.6997904,0.20678064
0.2,0,0.76843214,0.24322936
0.5,0,0.7979313,0.21882421
0.7,0,0.6059238,0.12714675
0.9,0,0.6416159,0.17615935
0.95,0,0.7869793,0.25065905
0.99,0,0.9499428,0.33009762
0.995,0,0.97307855,0.3411784
1,0,0.9967982,0.35249922
0,0.005,0.56796944,0.13851294
0.005,0.005,0.5741854,0.1431169
0.01,0.005,0.5803027,0.14762977
0.05,0.005,0.62568855,0.18045655
0.1,0.005,0.67362106,0.21338415
0.2,0.005,0.74280447,0.25431997
0.5,0.005,0.77973783,0.24160591
0.7,0.005,0.5978712,0.15518904
0.9,0.005,0.64017034,0.20507401
0.95,0.005,0.78638506,0.27917835
0.99,0.005,0.9498664,0.35814378
0.995,0.005,0.9730565,0.36915484
1,0.005,0.9968293,0.38040417
0,0.01,0.5428451,0.1402021
0.005,0.01,0.54903173,0.1450215
0.01,0.01,0.5551215,0.1497506
0.05,0.01,0.60034716,0.1843276
0.1,0.01,0.64822936,0.21947515
0.2,0.01,0.7178159,0.26482907
0.5,0.01,0.7617232,0.26361227
0.7,0.01,0.590008,0.18243039
0.9,0.01,0.6389797,0.23321283
0.95,0.01,0.78595555,0.30689755
0.99,0.01,0.9498495,0.38536313
0.995,0.01,0.97307914,0.39630082
1,0.01,0.99688876,0.40747407
0,0.05,0.3766266,0.13711149
0.005,0.05,0.38247105,0.14347401
0.01,0.05,0.38822848,0.14975199
0.05,0.05,0.43113965,0.19687611
0.1,0.05,0.47699767,0.24795833
0.2,0.05,0.5455633,0.32501093
0.5,0.05,0.62903166,0.40566555
0.7,0.05,0.53761023,0.36472082
0.9,0.05,0.64078844,0.42447063
0.95,0.05,0.7902044,0.4943342
0.99,0.05,0.953251,0.5681687
0.995,0.05,0.9762174,0.5784314
1,0.05,0.9997306,0.5889086
0,0.1,0.2577979,0.097011596
0.005,0.1,0.26315254,0.104648575
0.01,0.1,0.2684224,0.11220592
0.05,0.1,0.3075164,0.1697368
0.1,0.1,0.3488229,0.23408967
0.2,0.1,0.40924197,0.3374633
0.5,0.1,0.507012,0.48569724
0.7,0.1,0.5085896,0.4893253
0.9,0.1,0.6750697,0.5668413
0.95,0.1,0.81762123,0.6317193
0.99,0.1,0.9689443,0.6990673
0.995,0.1,0.99011624,0.7083841
1,0.1,1.0117706,0.7178884
0,0.5,0.14165154,0.022673918
0.005,0.5,0.14693977,0.028220342
0.01,0.5,0.15216115,0.033732362
0.05,0.5,0.19146368,0.07657651
0.1,0.5,0.23426116,0.12702358
0.2,0.5,0.29962924,0.21858731
0.5,0.5,0.4531839,0.4737067
0.7,0.5,0.66528195,0.66802704
0.9,0.5,0.85922664,0.8052904
0.95,0.5,0.8779746,0.81876105
0.99,0.5,0.883772,0.82383996
0.995,0.5,0.8840256,0.824182
1,0.5,0.8841912,0.8244687
0,1,0.1089908,0.003949888
0.005,1,0.1134582,0.009134196
0.01,1,0.11790366,0.014311831
0.05,1,0.15276223,0.055495024
0.1,1,0.19497144,0.10644148
0.2,1,0.27621824,0.20654932
0.5,1,0.4941856,0.48438743
0.7,1,0.6475122,0.65417314
0.9,1,0.8391423,0.81496066
0.95,1,0.886251,0.8499233
0.99,1,0.92068195,0.87495464
0.995,1,0.9247042,0.8778641
1,1,0.92865455,0.8807207
0,1.5,-0.23344839,-0.06794534
0.005,1.5,-0.22335401,-0.06087058
0.01,1.5,-0.21323532,-0.053783625
0.05,1.5,-0.13160655,0.003256012
0.1,1.5,-0.028859787,0.07494986
0.2,1.5,0.17224357,0.21639347
0.5,1.5,0.63209736,0.57097894
0.7,1.5,0.7821239,0.72669536
0.9,1.5,0.87828135,0.84533435
0.95,1.5,0.9034176,0.87310183
0.99,1.5,0.9246751,0.89508843
0.995,1.5,0.9274045,0.8978217
1,1.5,0.9301493,0.90055114
0,2,-0.017499901,0.011671051
0.005,2,-0.006238379,0.018977925
0.01,2,0.005003452,0.02627826
0.05,2,0.09410656,0.084372595
0.1,2,0.20277053,0.15588945
0.2,2,0.40687907,0.29308635
0.5,2,0.8468981,0.62392044
0.7,2,0.9652096,0.7605822
0.9,2,0.9860025,0.8477139
0.95,2,0.985677,0.8658961
0.99,2,0.985637,0.88016737
0.995,2,0.9856767,0.88194674
1,2,0.985729,0.8837265
