complexity,length,reward,rmse,r2,expression,expression_prefix,c00
4,4,0.5551598480157022,0.26672847160228125,0.35794554384593846,log((c00+t)),[log add c00 t],1.4123590999277105
5,5,0.5766502953618664,0.24438254679771024,0.46101896430369305,sin(log((t+c00))),[sin log add t c00],1.5064128332582134
6,6,0.5774131892494406,0.24361985625572527,0.4643779134836321,(c00-cos(((((t)**(0.5)))**(0.5)))),[sub c00 cos sqrt sqrt t],1.3428458534687984
8,8,0.5778932000589964,0.2431410054994917,0.46648144459992347,cos((((((exp(c00))**(0.5))-((t)**(0.5))))**(0.5))),[cos sqrt sub sqrt exp c00 sqrt t],0.7329015978888528
11,11,0.5796743349022406,0.24137110607903184,0.47422047114980437,(c00+(c00*(cos(log(((((t)**(0.5)))**(0.5))))+t))),[add c00 mul c00 add cos log sqrt sqrt t t],0.25404972109838697
