x,t,u1,u2
0,0,0.66611457,0.021606078
0.005,0,0.70956945,0.016738016
0.01,0,0.7511886,0.012388866
0.05,0,0.99771494,0.001169357
0.1,0,1.0542102,0.0524052
0.2,0,0.7871693,0.23274806
0.5,0,0.68407464,0.32909706
0.7,0,0.6133817,0.3026315
0.9,0,0.7238768,0.31545687
0.95,0,0.7933007,0.3241836
0.99,0,0.86006594,0.33217987
0.995,0,0.86907285,0.33323026
1,0,0.87822074,0.33429065
0,0.005,0.58010346,0.050694853
0.005,0.005,0.6239541,0.045795165
0.01,0.005,0.66599727,0.041417614
0.05,0.005,0.9171144,0.030002594
0.1,0.005,0.9836201,0.08028943
0.2,0.005,0.74564016,0.25545853
0.5,0.005,0.66662437,0.34455338
0.7,0.005,0.5974711,0.3160371
0.9,0.005,0.7128387,0.3271754
0.95,0.005,0.78376275,0.33553663
0.99,0.005,0.8517404,0.34325382
0.995,0.005,0.8608976,0.34427053
1,0.005,0.87019587,0.34529695
0,0.01,0.4994682,0.07742298
0.005,0.01,0.5436785,0.07250425
0.01,0.01,0.5861048,0.068112835
0.05,0.01,0.84153503,0.05659569
0.1,0.01,0.91779125,0.1060127
0.2,0.01,0.70773584,0.27634102
0.5,0.01,0.650318,0.35909
0.7,0.01,0.5824504,0.3288175
0.9,0.01,0.7025464,0.33845994
0.95,0.01,0.7749267,0.3464931
0.99,0.01,0.84407884,0.35395953
0.995,0.01,0.85338235,0.3549452
1,0.01,0.86282676,0.35594136
0,0.05,0.043295592,0.20986468
0.005,0.05,0.088657945,0.20537797
0.01,0.05,0.13244414,0.20144749
0.05,0.05,0.40934867,0.1933051
0.1,0.05,0.54824775,0.2401681
0.2,0.05,0.51521116,0.38477156
0.5,0.05,0.5540249,0.4457769
0.7,0.05,0.4897669,0.4109958
0.9,0.05,0.6429174,0.41493094
0.95,0.05,0.72545594,0.42156953
0.99,0.05,0.8027457,0.42793527
0.995,0.05,0.8130582,0.42878398
1,0.05,0.82350916,0.42964295
0,0.1,-0.14846706,0.22161666
0.005,0.1,-0.1062589,0.21910721
0.01,0.1,-0.06539142,0.21716796
0.05,0.1,0.20152242,0.22342202
0.1,0.1,0.372131,0.27795708
0.2,0.1,0.45304328,0.41589308
0.5,0.1,0.4911468,0.49750623
0.7,0.1,0.42447025,0.47445333
0.9,0.1,0.6087615,0.4834815
0.95,0.1,0.7006616,0.49081227
0.99,0.1,0.7853423,0.49759737
0.995,0.1,0.79656345,0.49849078
1,0.1,0.8079194,0.49939248
0,0.5,0.064030066,-9.05E-05
0.005,0.5,0.06509426,0.007652145
0.01,0.5,0.06660019,0.015368596
0.05,0.5,0.095090196,0.07510206
0.1,0.5,0.16435525,0.14225453
0.2,0.5,0.32346648,0.2521985
0.5,0.5,0.478697,0.4561772
0.7,0.5,0.50476915,0.5409767
0.9,0.5,0.68203986,0.6390883
0.95,0.5,0.758544,0.6676184
0.99,0.5,0.8286391,0.6913035
0.995,0.5,0.83793133,0.69430625
1,0.5,0.8473379,0.6973169
0,1,0.10140802,-0.00604783
0.005,1,0.09807216,-0.000774447
0.01,1,0.095161766,0.004446894
0.05,1,0.08717145,0.04427421
0.1,1,0.11114198,0.08958514
0.2,1,0.21573614,0.17233238
0.5,1,0.42395705,0.41658154
0.7,1,0.5322774,0.5600093
0.9,1,0.7066564,0.68681836
0.95,1,0.76333493,0.71768725
0.99,1,0.8125097,0.7424536
0.995,1,0.8188929,0.7455582
1,1,0.8253277,0.7486656
0,1.5,-0.060893834,-0.011300694
0.005,1.5,-0.062439058,-0.007047605
0.01,1.5,-0.063618265,-0.002828579
0.05,1.5,-0.060021706,0.029697102
0.1,1.5,-0.025519505,0.06764637
0.2,1.5,0.10891111,0.13935015
0.5,1.5,0.5088763,0.3786531
0.7,1.5,0.69412947,0.5474465
0.9,1.5,0.87709475,0.70260596
0.95,1.5,0.92561805,0.73857826
0.99,1.5,0.9655631,0.76656187
0.995,1.5,0.9706318,0.77001184
1,1.5,0.9757175,0.7734511
0,2,-0.14414787,0.015459232
0.005,2,-0.14212182,0.01919628
0.01,2,-0.13980785,0.022909086
0.05,2,-0.111163415,0.051770423
0.1,2,-0.052169725,0.08604452
0.2,2,0.12008712,0.15176871
0.5,2,0.66729903,0.37087545
0.7,2,0.9286472,0.5341762
0.9,2,1.1425381,0.69247735
0.95,2,1.1918585,0.7299751
0.99,2,1.2304766,0.7592404
0.995,2,1.2352581,0.7628511
1,2,1.2400286,0.7664511
